rank,artist,title,region,chart_date,spotify_uri
54,Callejeros,Creo,Argentina,2026-03-05,5Bi9Cq5oVFy1OtUgecbegZ
55,Danny Ocean,Me Rehúso,Argentina,2026-03-05,6ifUES3keWjwXgae8pXI3o
56,"Tiago PZK, Ke Personajes",Piel,Argentina,2026-03-05,6kPCcIAGoTeRrh8qrmKa90
57,"Maria Becerra, El Alfa, XROSS",HACE CALOR,Argentina,2026-03-05,4tabsd3NLLwuT90wkuNh7C
58,Patricio Rey y sus Redonditos de Ricota,Un Ángel para Tu Soledad,Argentina,2026-03-05,6kUopck7LHVadAjAFcXiTj
59,"Luck Ra, Miranda!",TU MISTERIOSO ALGUIEN (CUARTETO) (feat. Miranda!),Argentina,2026-03-05,4Kzi8hXKkT87SQoYClizh0
60,"Omar Courtz, ROA",WO OH OH,Argentina,2026-03-05,0h54mLixODOqU6vTcZMqVM
61,"Q' Lokura, Los Herrera",Cuidado Que Te Supero,Argentina,2026-03-05,2Xetks48zQL2K7xUbJBHRn
62,"Héctor ""El Father"", Wisin & Yandel",El Teléfono,Argentina,2026-03-05,614NVFo5csQqRnryl4jXs2
63,"Luck Ra, Karina, RAMKY EN LOS CONTROLES",LADRON,Argentina,2026-03-05,2NMctdE1VuUUc4VctEqamB
64,Taylor Swift,The Fate of Ophelia,Argentina,2026-03-05,53iuhJlwXhSER5J2IYYv1W
65,"Anuel AA, Haze",Amanece,Argentina,2026-03-05,1LiN0Z98FkR1t0m8KmLcAH
66,Turf,Pasos Al Costado,Argentina,2026-03-05,7upAH0ezzsThyvr33YKn4u
67,"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",Sola (Remix),Argentina,2026-03-05,5q2JbCNi4FcnglgPfxcV65
68,Felix Record,Cuentame,Argentina,2026-03-05,2lg4MDfkK2ya3dEAFu6Wh8
69,De La Rose,Yo te conozco :):,Argentina,2026-03-05,1yG1za0O6OK6sKa79xGtsA
70,Babasonicos,Irresponsables,Argentina,2026-03-05,6d4d6cwiAf59mKxoRmXQoK
71,"Yan Block, Panda Black",444,Argentina,2026-03-05,1o4xkdBe0RjSf2u6VXi4OI
72,"Jere Klein, Katteyes, Mateo on the Beatz",TODO KE VER,Argentina,2026-03-05,3D9mWy43zoJFWQUE6sz6ax
73,Los Huayra,La Noche Sin Tí,Argentina,2026-03-05,6dT5W7zuEcUZHnZuVlSIJ5
74,Los Piojos,Bicho de Ciudad,Argentina,2026-03-05,0oCiPqIEL5218yu2D996eP
75,Omar Courtz,KOKO,Argentina,2026-03-05,1tz7RZirwiuaJw2p0jbdHb
76,Maluma,Borro Cassette,Argentina,2026-03-05,6DUdDIRgLqCGq1DwkNWQTN
77,"Yan Block, Panda Black",Talento,Argentina,2026-03-05,7sChwC2NZjGc2Kdni3hlDg
78,"Pablo Chill-E, Ñengo Flow, Jere Klein",Bastardo (feat. Ñengo Flow & Jere Klein),Argentina,2026-03-05,7xjFEvchFCiAmuseCBModI
79,Los Tipitos,Campanas en la Noche,Argentina,2026-03-05,0C9V5jMElp7laZZdsCHufD
80,Omar Courtz,SI ESTÁS CON ALGUIEN,Argentina,2026-03-05,7nyk5uxevcijIfl1FlJgmA
81,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,Argentina,2026-03-05,06s3QtMJVXw1AJX3UfvZG1
82,Ciro y los Persas,Me Gusta,Argentina,2026-03-05,67Q93kXygxCskeQiIP0V0j
83,Bad Bunny,MONACO,Argentina,2026-03-05,4MjDJD8cW7iVeWInc2Bdyj
84,La T y La M,amor de veraNO,Argentina,2026-03-05,6WJ2QzbVnjmPGKpmb6tmmO
85,Airbag,Nunca Lo Olvides,Argentina,2026-03-05,4581iSIX0QZNNzAQRysF3k
86,"Yan Block, TORRRES",Yo sé,Argentina,2026-03-05,5DdLSEyKh8zgCrJq2hFj92
87,"Milo j, Taiu",Rara Vez,Argentina,2026-03-05,7MVIfkyzuUmQ716j8U7yGR
88,El Plan De La Mariposa,Túnel de la Vida,Argentina,2026-03-05,3NlHH9zJ9uGXkm6NJDbLnO
89,DesaKTa2,No Se Ve / Chingon,Argentina,2026-03-05,1wDZFWLswOdkP3PBOWiSwI
90,Airbag,Cicatrices,Argentina,2026-03-05,23FJGRug9hlYUIBnrmkIBX
91,Pablo Chill-E,Resentia,Argentina,2026-03-05,2ANtIUI9cipWNI685VdlZb
92,Jin,Don’t Say You Love Me,Argentina,2026-03-05,27xkOIER6uDLKALIelHylZ
93,Zion & Lennox,La player (Bandolera),Argentina,2026-03-05,0VKkyBKCXyR99navhVRqcP
94,Tan Bionica,Obsesionario en La Mayor,Argentina,2026-03-05,5EGVGkRRJ2udpRnVGpx8LM
95,"Romeo Santos, Prince Royce",Dardos,Argentina,2026-03-05,5SudOD9R1Of6CsJVWZy6CQ
96,Anuel AA,Tú No Lo Amas,Argentina,2026-03-05,0fLOPPoyIaPTe8dm2Mrft3
97,Los Auténticos Decadentes,Un Osito de Peluche de Taiwán,Argentina,2026-03-05,6iCnJkKswtMYoSmT58HmEn
98,Patricio Rey y sus Redonditos de Ricota,Un Poco de Amor Francés,Argentina,2026-03-05,14rcLGX83RpsORAIzC4U4g
99,Q' Lokura,Quédate / Soy Favela / Lo que hay x aqui - En Vivo,Argentina,2026-03-05,3sfrXcrMPS2KMQmzdmjEmp
100,La T y La M,El Doctorado,Argentina,2026-03-05,1yg1tWFaYajN4b7vsKtYRE
101,Miranda!,Tu Misterioso Alguien,Argentina,2026-03-05,4ksf1UdqNc9pU8R4ZZrgdY
102,"Luciano Pereyra, Ezequiel Y La Clave, Un Poco de Ruido, Pinky SD",Si No Es Muy Tarde - Versión Cumbia,Argentina,2026-03-05,4KRlNVLHn2ZgGvpjnga31N
103,KAROL G,Si Antes Te Hubiera Conocido,Argentina,2026-03-05,73scB4Q4fcOmnsBVZPmk32
104,"Fuerza Regida, Grupo Frontera",COQUETA,Argentina,2026-03-05,1PREzVLuDT6PSE9sej4wnV
105,Bad Bunny,Moscow Mule,Argentina,2026-03-05,6Xom58OOXk2SoU711L2IXO
106,"Luck Ra, BM",La Morocha,Argentina,2026-03-05,6vRQqxOhUFd78p5tL8jXr7
107,Los Auténticos Decadentes,Loco (Tu Forma De Ser),Argentina,2026-03-05,3ydweVPwq9PCEVJ8WwqT6u
108,Omar Courtz,⁠LUCES DE COLORES,Argentina,2026-03-05,5dDlknAL9imbXXl7uG7oqe
109,The Police,Every Breath You Take,Argentina,2026-03-05,1JSTJqkT5qHq8MDJnJbRE1
110,"Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Argentina,2026-03-05,0JoHqmlqE0W0i9prt6kcHR
111,Airbag,Cae el Sol,Argentina,2026-03-05,1Mqfdem6pgGVoULjSkkcc9
112,"Eugenia Quevedo, Angela Leiva, La banda de Carlitos",No Podrás - En Vivo,Argentina,2026-03-05,3X8jKI7kHrbhqgLboG14tw
113,Babasonicos,Puesto,Argentina,2026-03-05,5zpZUFF7YyPG90nkR88RYd
114,Soda Stereo,Trátame Suavemente - Remasterizado 2007,Argentina,2026-03-05,65DBZofI0b79kfHTcWWDuU
115,"DesaKTa2, Aneley",Estaba Aqui Pensando,Argentina,2026-03-05,5GUgnXDDO4raKkT9lO5F1x
116,Yandel,Encantadora,Argentina,2026-03-05,7LABrQFfRYcZUqUwng0Heb
117,Bad Bunny,Otra Noche en Miami,Argentina,2026-03-05,4vCAzANUWDE24URV6wQ4ra
118,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Argentina,2026-03-05,3k3NWokhRRkEPhCzPmV8TW
119,"Callejero Fino, Martin Vegas",TIKI TIKI,Argentina,2026-03-05,7GSKEUunbDOtPSG1TLXq8e
120,No Te Va Gustar,Ese Maldito Momento,Argentina,2026-03-05,6MuJUSYCqA4FpMogUHzb2R
121,Angela Torres,FAVORITA,Argentina,2026-03-05,6EhX9FjpQZ5CohoGeqUM2u
122,Kapo,UWAIE,Argentina,2026-03-05,0fMjldiEpgjbWQ4bBQwVzH
123,"Estelares, Jorge Serrano",Ella Dijo,Argentina,2026-03-05,6cFf4Jfy7ThUwGzbqFcZsx
124,La T y La M,Un Montón de Estrellas - En Vivo Gran Rex,Argentina,2026-03-05,1R3ubqAHKHE6f64Hz37q8h
125,Babasonicos,El Loco,Argentina,2026-03-05,2jEjxOyKqMpkcThWl697hf
126,Andrés Calamaro,Flaca,Argentina,2026-03-05,1p7m9H4H8s0Y7SgRm7j3ED
127,Las Pelotas,Personalmente,Argentina,2026-03-05,7q7XFO9av9VpNJSXKJwJxD
128,"Rauw Alejandro, Romeo Santos",Khé?,Argentina,2026-03-05,1YYfyJ2yCvGFCxwjsIqEK9
129,Las Pelotas,Será,Argentina,2026-03-05,60IzIxSuVAtU71yCmHjxHH
130,Mon Laferte,Tu Falta De Querer,Argentina,2026-03-05,4skuEIloXWuxxgekKupkEH
131,Patricio Rey y sus Redonditos de Ricota,Esa Estrella Era Mi Lujo,Argentina,2026-03-05,1buwr89mlvxbaqArqmvCYS
132,"Yan Block, De La Rose, Hades66, Ñengo Flow",444 - Remix,Argentina,2026-03-05,5AK6QqM8aUXXTk6oY00ZRh
133,Romeo Santos,Imitadora,Argentina,2026-03-05,6r46lnXFbE9fr2d3KNaGbe
134,Milo j,M.A.I,Argentina,2026-03-05,35ttE4t8lQZA2vuCYDg4G7
135,Omar Courtz,VAMOaCOCHI,Argentina,2026-03-05,1oghNMGW42IhtQPNU6leZz
136,"Ke Personajes, Onda Sabanera",Pobre Corazón - En Vivo,Argentina,2026-03-05,1AX4aybSRyXHWrjg27wTFE
137,"Feid, ATL Jacob",LUNA,Argentina,2026-03-05,7bywjHOc0wSjGGbj04XbVi
138,Anuel AA,¿Qué Nos Pasó?,Argentina,2026-03-05,7k3qWn8D43a5ISa3x8lJux
139,"Jory Boy, Bad Bunny",No Te Hagas,Argentina,2026-03-05,5hKjEpYrJIJs6uPl7zw6Y6
140,"Rauw Alejandro, Chencho Corleone",El Efecto,Argentina,2026-03-05,4SJHHpKhcuXwDsCsPqshXj
141,"KHEA, Duki, Cazzu, Omar Varela, MYKKA",Loca,Argentina,2026-03-05,0vnrhysrKKRdNYFKLAGzRc
142,"Luciano Pereyra, The La Planta, Un Poco de Ruido, Pinky SD",Es Mi Culpa - Versión Cumbia,Argentina,2026-03-05,78OOLg1XsVW0QQkfHP2VEV
143,"Maria Becerra, Paulo Londra, XROSS",RAMEN PARA DOS,Argentina,2026-03-05,5KJacLbQNuqzR9IizaPI6h
144,Plan B,Fanatica Sensual,Argentina,2026-03-05,1DrDfpOx4P4LMxFhtOmeyD
145,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,Argentina,2026-03-05,4OwhwvKESFtuu06dTgct7i
146,Cumbia rocha,"Suena en la Previa, Vol. 2",Argentina,2026-03-05,0LswOwsXAfPYLGVwqRlNyW
147,"Trap Capos, Noriel, Bad Bunny, Arcángel",De las 2 (feat. Bad Bunny & Arcángel),Argentina,2026-03-05,4DS7HoqrKq1dDjeYOKBlu9
148,"DobleP, Peipper, Locura Mix, VERNAZ",PUTERÍ4,Argentina,2026-03-05,1IgrATr9zMmRjtFVFY6O7s
149,"Emilia, TINI, Nicki Nicole",blackout 🧊,Argentina,2026-03-05,1KaXG7dVdwMH3gCtiAU39t
150,"Omar Courtz, De La Rose",Q U E V A S H A C E R H O Y ?,Argentina,2026-03-05,0Sr7ssScx54yxdM2ols7nW
151,"Pinky SD, Un Poco de Ruido, Uriel Lozano",Conmigo Te Gustó,Argentina,2026-03-05,4eqXTlaHeK6xkM1fRx9wR5
152,"Bad Bunny, Los Pleneros de la Cresta",CAFé CON RON,Argentina,2026-03-05,6VNXmo59yDYgcwLS17UNAW
153,"Omar Courtz, De La Rose, Haze",Kyoto,Argentina,2026-03-05,7eNwwoxDR8KVzNAuGvliAO
154,Sabrina Carpenter,Manchild,Argentina,2026-03-05,2BwO5K8Q7EPAJSGze3AAh9
155,"Ulises Bueno, DesaKTa2",No Puedo Fingirlo,Argentina,2026-03-05,06WyITrA2pZJT5Nt79AOrb
156,"Tainy, Bad Bunny",MOJABI GHOST,Argentina,2026-03-05,46YjJXVXWHlQ21odKktg5e
157,Patricio Rey y sus Redonditos de Ricota,La Bestia Pop,Argentina,2026-03-05,6BHlafXY1L2eetDCwict05
158,"Callejero Fino, Lea in the Mix",NO LES DA,Argentina,2026-03-05,6pryujEohwqSNKGTW33SKE
159,Boza,Hecha Pa' Mi,Argentina,2026-03-05,3VvA1wSxukMLsvXoXtlwWx
160,"Big One, FMK, Ke Personajes",Un Finde | CROSSOVER #2,Argentina,2026-03-05,3tiJUOfAEqIrLFRQgGgdoY
161,"Bryant Myers, Anuel AA, Anonimus, Almighty",Esclava - Remix,Argentina,2026-03-05,2Mgur7BKnpr7OG3izSNFTA
162,"DENNIS, Luísa Sonza, Emilia",MOTINHA 2.0 (Mete Marcha) - Remix,Argentina,2026-03-05,2iDDnYmaz1HhedjI91fbmp
163,"Luck Ra, La K'onga, Ke Personajes",Ya No Vuelvas (Versión Cuarteto),Argentina,2026-03-05,0u6JsFiEEXb6kaF0oqyeFi
164,Bad Bunny,Enséñame a Bailar,Argentina,2026-03-05,2NMjggapJcXXM7WccGEBUO
165,"Lady Gaga, Bruno Mars",Die With A Smile,Argentina,2026-03-05,7so0lgd0zP2Sbgs2d7a1SZ
166,"Intoxicados, Andrés Calamaro",Fuego,Argentina,2026-03-05,6q41qt2R9K8BXEzmzImEGO
167,"Luck Ra, Abel Pintos",QUE ME FALTE TODO,Argentina,2026-03-05,1TyBUtMxdmRfXhW3MmbxtQ
168,Los Piojos,Tan Solo,Argentina,2026-03-05,6Soxxi73U6SO4rOGJwYYxI
169,"Feid, ICON",FERXXO 151,Argentina,2026-03-05,2Cl4HCBmPddQNZEncdoXp0
170,Airbag,Solo aquí,Argentina,2026-03-05,0OcYoSGA1CFGZcCuPLyfhj
171,"Callejero Fino, La T y La M",Te invito a bailar,Argentina,2026-03-05,17vFIehhv8hKSXYn5Ce4Pk
172,"Zion & Lennox, J Balvin",Otra Vez (feat. J Balvin),Argentina,2026-03-05,3QwBODjSEzelZyVjxPOHdq
173,"Blessd, Anuel AA, SOG",TE CANTO BAJITO,Argentina,2026-03-05,3I1jcOmPwnzUR5yduDK3yb
174,Maluma,El Perdedor,Argentina,2026-03-05,1iEwyiSLAunPR6uouANE0O
175,Cosculluela,Manicomio,Argentina,2026-03-05,3UVM7rdOSbm2vKDXB9SsWo
176,DesaKTa2,La Diabla,Argentina,2026-03-05,6PaIQ2qR59qiqXgjeTFwJA
177,Bad Bunny,Si Estuviésemos Juntos,Argentina,2026-03-05,35wvL50xvKpCHEJPxLOLPI
178,"Los Ángeles Azules, Emilia","Perdonarte, ¿Para Qué?",Argentina,2026-03-05,4dLLdfiniBhDP9dlJQIOi4
179,"Eugenia Quevedo, La banda de Carlitos",Como Lo Hizo? - En Vivo,Argentina,2026-03-05,3KAdpFK7rveKAAwpgjwhNn
180,Soda Stereo,De Música Ligera - Remasterizado 2007,Argentina,2026-03-05,2WD9ggmpZE7Wodh3qVVCgg
181,"Cosculluela, Bad Bunny",Madura,Argentina,2026-03-05,5n2XTRsYFlZwNBp06KAjDX
182,"Indio Solari, Los Fundamentalistas del Aire Acondicionado",Había una Vez...,Argentina,2026-03-05,3ayHT7okY784fCWMYDbspt
183,Mancha De Rolando,Arde la Ciudad,Argentina,2026-03-05,3SyKG06yOK3omo29EwZ8dP
184,"J Balvin, Bad Bunny",QUE PRETENDES,Argentina,2026-03-05,25ZAibhr3bdlMCLmubZDVt
185,"Arcángel, Bad Bunny, Mambo Kingz, DJ Luian",Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Argentina,2026-03-05,6NSMQFKgjpQb0KkjMDYIK0
186,"JHAYCO, J Balvin, Bad Bunny",No Me Conoce - Remix,Argentina,2026-03-05,2beS6dD5rovBxSA1zYoSHR
187,"Max Carra, Lira",VIAJEMOS EN EL TIEMPO #1 | Quien Te Quiere Como Yo,Argentina,2026-03-05,6il9B9hrZPNpXei57XM1Sv
188,Patricio Rey y sus Redonditos de Ricota,Tarea Fina,Argentina,2026-03-05,4mZHvbJWkK9uVmD9SvHKao
189,Babasonicos,En Privado,Argentina,2026-03-05,0ZyNiSXRbq68lmBjV0vJkR
190,RAYE,WHERE IS MY HUSBAND!,Argentina,2026-03-05,55lijDD6OAjLFFUHU9tcDm
191,"J Balvin, Bad Bunny",Si Tu Novio Te Deja Sola,Argentina,2026-03-05,2joKSGkqac0LIwYG9Ghrwq
192,Airbag,Verte De Cerca,Argentina,2026-03-05,3pevHGhwL0brjFQfPABwns
193,Viejas Locas,Me Gustas Mucho,Argentina,2026-03-05,2kB1rqoTaZ3j6ChtIWGurm
194,"PEPU, Nico Valdi, Pizzu",FAR AWAY,Argentina,2026-03-05,3pcXMfSwwXGcucdrDb6Awd
195,Airbag,Ganas de Verte,Argentina,2026-03-05,3JCian69xIfy8A4799Og5f
196,La T y La M,Como Se Siente,Argentina,2026-03-05,0tQDrJxQcB5zKGrHx43xUj
197,"Maria Becerra, Rei, XROSS",MI AMOR,Argentina,2026-03-05,1CSdu8EHZzV0DjYB6RNXbX
198,Bad Bunny,TURiSTA,Argentina,2026-03-05,7tCuCjhxzjX2XCz4JiiAsp
199,Beéle,quédate,Argentina,2026-03-05,6VfL3MEuYeJbDlD8m011HR
200,"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,Argentina,2026-03-05,1DwscornXpj8fmOmYVlqZt
1,Jin,Don’t Say You Love Me,Japan,2026-03-05,27xkOIER6uDLKALIelHylZ
2,Kenshi Yonezu,IRIS OUT,Japan,2026-03-05,59hVbgr8rfYkDbHfr8RcGI
3,Mrs. GREEN APPLE,lulu.,Japan,2026-03-05,0vE1WglBbhmd5wDO49lcih
4,M!LK,Bakuretsu Aishiteru,Japan,2026-03-05,1F1hibBCtNeObRMmEMLHNh
5,HANA,Blue Jeans,Japan,2026-03-05,6hnk0Fesq9JOhWpck8HJsj
6,M!LK,Sukisugite METSU!,Japan,2026-03-05,0vDqNzQqEhl7boeRS3Joli
7,HANA,ROSE,Japan,2026-03-05,3920QegiL2PHmaYYBVwexC
8,ARASHI,Five,Japan,2026-03-05,2cIqVZFyBH8h5dnrzBvtre
9,Mrs. GREEN APPLE,ライラック,Japan,2026-03-05,21VsLvoE7elUmJZLSawaMh
10,King Gnu,AIZO,Japan,2026-03-05,65X2koe1LhDgQmRkNdJFv9
11,back number,花束,Japan,2026-03-05,3QIAwtEEDOrv0g5NKCGrXZ
12,CHANMINA,SAD SONG,Japan,2026-03-05,2zxK14g3shGRbgjUmKaj2x
13,back number,ブルーアンバー,Japan,2026-03-05,35MeePbBnryubkVG0v8GbI
14,BE:FIRST,夢中,Japan,2026-03-05,7KNY1e9x1MDvpBAmIAN3tz
15,Mrs. GREEN APPLE,Soranji,Japan,2026-03-05,3YML5IHoqWbw9c9vJJvrvM
16,HANA,Cold Night,Japan,2026-03-05,79wd94vXLJngCwTAVtzYvr
17,back number,ハッピーエンド,Japan,2026-03-05,4GqO80eGXA542oTvlYv4LS
18,"Mrs. GREEN APPLE, Sonoko Inoue",点描の唄,Japan,2026-03-05,1sIIlVrnPhrvmTrHtzM7tV
19,Mrs. GREEN APPLE,ダーリン,Japan,2026-03-05,7ikOwlVju9HYUKthPiNHwr
20,HANA,NON STOP,Japan,2026-03-05,2q910scaHhg6GmqnUKOGHU
21,HANA,Drop,Japan,2026-03-05,3OOKZkrUWnMdWJFAvy0b58
22,Jimin,Who,Japan,2026-03-05,7tI8dRuH2Yc6RuoTjxo4dU
23,back number,高嶺の花子さん,Japan,2026-03-05,2jdbZGFp8KVTuk0YxDNL4l
24,back number,水平線,Japan,2026-03-05,3RvdkNMcSy71m0aT6UF9Uf
25,"Kenshi Yonezu, Hikaru Utada",JANE DOE,Japan,2026-03-05,4oE7MyJhqSD3BaHRpNs8Nl
26,AiNA THE END,革命道中 - On The Way,Japan,2026-03-05,1oFqKeepmT5S8BCGqJl7Ar
27,HANA,ALL IN,Japan,2026-03-05,6lOUOvcscCHUofusbjbYV2
28,Mrs. GREEN APPLE,僕のこと,Japan,2026-03-05,0tnhoHUrHfcLi9hPknUFZ4
29,HANA,Bloom,Japan,2026-03-05,2ezkOPL49H0ZrQYM6y328n
30,CHANMINA,ハレンチ,Japan,2026-03-05,2BfzhBl79bcPOHHXAXJkTY
31,Vaundy,Kaiju no Hanauta,Japan,2026-03-05,7dTW21YAJxnAOiUh7Rtu9S
32,Number_i,3XL,Japan,2026-03-05,3sNbkM4pIy1l7p6K2lhpvm
33,back number,HAPPY BIRTHDAY,Japan,2026-03-05,4FMz2RFrbDGzJO7K4D0vS3
34,Mrs. GREEN APPLE,青と夏,Japan,2026-03-05,5BC6kr6etk2Y9J62AyI4i3
35,King & Prince,Theater,Japan,2026-03-05,6iltt0n1DkQ0AtCcwxXNZJ
36,HANA,My Body,Japan,2026-03-05,2AdYT7oPiAASC46qF43dia
37,sakanaction,Kaiju,Japan,2026-03-05,6FhWelfRDMFZRtFUU6SIdC
38,Mrs. GREEN APPLE,ケセラセラ,Japan,2026-03-05,0teqQ0PYqVDyyXJuPOyMhu
39,back number,どうしてもどうしても,Japan,2026-03-05,6hlYmR30RGaHIz4UlVOG2U
