artist,title,spotify_uri,lyrics
"Beéle, Ovy On The Drums",mi refe,4zhk2RS2EZODmBW6il55Qj,"To' el mundo ya supone que tú y yo somo' algo (Oh-oh)
Confirman en la calle que contigo es que salgo (Uh-uh)
¿Entonce' pa' qué mentirno' más? (Ah)
No sé pa' qué seguir disimulando más (No)
Que importe un culo lo que piensen los demás (Uh-yeah)
Tú y yo nacimo' pa' estar juntos, yo me pregunto

¿Pa' qué putas esconderno'?
Dejemo' tanto misterio para verno'
Yo te gusto, tú me gustas, eso hace rato se sabe
Delante de la gente bésame
¿Pa' qué putas esconderno'?
Dejemo' tanto misterio para verno'
Yo te gusto, tú me gustas, eso hace rato se sabe
Delante de la gente bésame

Vo'a presumir que estás dura (Oh), yo tu gángster, tú mi chula
Contigo me pasa que no me importa lo que comenten
Si nos llegan a la altura (No, no), tienes vibra de alma pura (OH)
Para el mal, ella es mi cura, su cintura está demente

Yo me enamoré, eh, eh, eh, eh
De ti más me enamoro, oh, oh, oh, oh (Ah-ah)
Con la espalda en la pared, eh, eh, eh, eh (Eo)
Sin pensar que alguien nos vio, oh, oh, oh, oh
De ti yo me enamoré, eh, eh, eh, eh (Aye)
De ti más me enamoro, oh, oh, oh, oh
Con la espalda en la pared, eh, eh, eh, eh
Sin pensar que alguien nos vio, oh, oh, oh, oh (No, no)

¿Pa' qué putas esconderno'?
Dejemo' tanto misterio para verno'
Yo te gusto, tú me gustas, eso hace rato se sabe
Delante de la gente bésame
¿Pa' qué putas esconderno'?

O-O-Ovy On The Drums"
"Ovy On The Drums, Quevedo, Beéle",YO y TÚ,7koAf6aZgjO6TS7bipfPD0,"You give me sweet love, babe
O-O-Ovy On The Drums
Or you give me sweet heartbreak

Yo siempre había singa'o (Ah-ah-ah)
Pero contigo es primera vez que hago el amor (Que hago el amor)
Tú me encantas, ma, mucho con demasia'o
Ser el que te despierte a beso', e' un honor
Baby, por favor (Óyelo)

Imagínate tú y yo
Yo y tú, los do'
Bailando esta bien pega'o
Con un Phillie enrola'o
Imagínate tú y yo
Yo y tú, tú, tú, los do'
Bailando esta bien pega'o
Con un Philliе enrola'o

Tu espalda pegá' a mi abdomеn perreando en una esquinita del VIP
Me muerde el labio y me pregunta: ""Do you like it?""
Mami, obvio, si parecemo' novio'
Si me doy otro shot quizás se me escapa un ""I love you""
Pero yo no quiero eso (No)
Por lo meno' hasta ayer eso pensaba
Y eso que soltero estaba melo
Pero Cupido no falló su última bala, esa me dio
Y ahora me tiene mirando arriba, pidiendo a Dio'
Que nunca se acabe este momento perreándono'
Se me está ocurriendo un futuro para los do'
Que empieza esta noche en mi cama singándono'
Y ahora me tiene mirando arriba, pidiendo a Dio'
Que nunca se acabe este momento perreándono'
Se me está ocurriendo un futuro
Pero pa' empezar bajemo' esta bellaquera

Imagínate tú y yo
Yo y tú (Yo y tú), los do' (Los do')
Bailando esta bien pega'o
Con un Phillie enrola'o
Imagínate tú y yo
Yo y tú, tú, tú, los do'
Bailando esta bien pega'o
Con un Phillie enrola'o

En cámara lenta yo te quiero ver
En esta esquinita te vo'a secuestrar
Yo sé, mami, que a ti te gusta el bling-bling
Tenerte de espalda, mami, arrecostá'
En cámara lenta yo te quiero ver
En esa esquinita te vo'a secuestrar
Yo sé, mami, que a ti te gusta el bling-bling
Tenerte de espalda, mami, arrecostá'
To'a mis ganas se me salen
Si me mira' así, me pone mal
Cómo me besa' es to' lo que está bien
Volvamo' a hacerlo, ¿tú te imagina'?
Toa' mis ganas se me salen
Si me mira' así, me pone mal
Besarno' así es to' lo que está bien
Dime pa' qué quedarno' con las gana'

Imagínate tú y yo
Yo y tú, los do'
Bailando esta bien pega'o
Con un Phillie enrola'o
Imagínate tú y yo
Yo y tú, tú, tú, los do'
Bailando esta bien pega'o
Con un Phillie enrola'o

Gu-gu-gu-gu-gu
Aye (Ah)
Quevedo, óyelo
Ovy On The rasta Drums
Rasta Drums, yeah
Beéle, eh-eh, KEITYN
Alright
The Kristoman
Óyelo, Súper Da"
"Myke Towers, Quevedo",SOLEAO,4OsBqqMwFabHATATT527tH,"Yeah
Quiero ganarle al tiempo pa' contigo poderme perder
Y por más que pase y que tome distancia, siempre va a volver
No quiero molestar, mi amor, solo llamé pa' saber
Cómo usted se encuentra, porque la he buscado

Y el día está solea'o, te quiero de mi la'o
Tira'o en las sábana', la gente no sabe na'
Hay mucho averigua'o, vámono' pa' otro la'o
En donde no hay cámara', la llama no apagará

Dale, que yo estoy ready (Ah)
Ya me di par de shot y tú me pusiste débil (Ah-ah)
Vamo' a dejarno' a media' la peli (Eh-eh)
Que tú y yo somo' adicto' a lo mismo, eso nos une (Sí)
Muchachos, ¿qué me pasa? (Ah) Que ando feliz un lune', ey
Y llevo to' el día con ella mandándome suciería', ey
Cuando llegue, te hago mía (Ah-ah)
Tú dame la garantía (Sí), ey
De que puedo confiar
El amor me ha hecho pasarlo mal (Ay)
Odias mi pasado, baby, normal (Normal)
Total, yo también lo haría
Baby, si fuera tú, uh-uh-uh
Yo me disfrutaría el momento (Sí)
Que de ti sí que no me arrepiento (Ah), ey
Mami, uh-uh-uh
Hoy el día está lindo
Quedémono' en casa, baby

Que el día está solea'o, te quiero de mi la'o
Tirada en las sábana', la gente no sabe na'
Hay mucho averigua'o, vámono' pa' otro la'o
En donde no hayan cámara', la llama no se apagará

Ojalá que lo nuestro fuera pa' siempre
Bebé, tú me tiene' impaciente
Vámono' de aquí, que hay muchas cosa' que quiero hacerte (Hacerte)
Borró sus llamada' reciente' (-ciente')
Tiempo me tomó convencerte
Al estar a tu lado yo corro con suerte (Suerte)
Me baila de espalda y de frente (De frente)
Te extraño cuando estás ausente
Baby girl, supe que era mía a la que la miré
Yo puedo roncarle, pero na' diré
Me dio con seguir a la que terminé
Primero boca arriba, luego la viré
Ella fue la que me ayudó a olvidar a mi ex
Sé que en tu corazón mi huella la dejé
Como cuando en la orilla contigo caminé

El día está solea'o, te quiero de mi la'o
Tira'o en las sábana', la gente no sabe na'
Hay mucho averigua'o, vámono' pa' otro la'o
En donde no hay cámara', la llama no apagará
Y el día está solea'o, te quiero de mi la'o
Tirada en las sábana', la gente no sabe na'
Hay mucho averigua'o, vámono' pa' otro la'o
En donde no hayan cámara', la llama no se apagará

Young Kingz, baby
Yo te lo hice a ti en la playa justo al frente de la orilla
Ella y yo no somo' nada, pero solo entre comilla' (Comilla')"
"Alleh, Yorghaki",capaz (merengueton),2dd3G3ZqEcG2cNS1tp3oEk,"No-no-no-no, no-no-no-no (No, no, no, no)
¿Qué tanto podía durar? Si desde que empezamo'
Lo mismo sentimo' y decidimos creer

Parte por parte menos ropa, de noche al amanecer
La' hora' se hicieron cortas, suficiente pa' entender

¿Qué más da si besarte es tan fácil?
Quería olvidarte, no lo logré, pero casi
¿Qué más da si besarte es tan fácil?
Te sigo en las redes como fan a papa—

Y capaz no funcionamos
Capaz nos dimos la mano
Capaz nos fuimos temprano
Y queríamos quedarnos más
Que nada de esto sea en vano
Cuando te diga ""te amo""
Sin que lo digas, te aclamo
¿Cómo esto va a terminar?

¿Qué más da si besarte es tan fácil?
Quería olvidarte, no lo logré, pero casi
¿Qué más da si besarte es tan fácil?
Te sigo en las redes como fan a paparazzi

Atrévete, ven, pégate, bailando, pega tu cintura
¿Que tu cuerpo no me quiere? Todavía tengo mis duda'
Envicia'o de ti, si no es contigo, no quiero na', no quiero na', no quiero na'

Aventurándome por tu piel, no quieres que pare (No quieres que pare)
¿Qué te parece que tengo en mente una vuelta por la ciudad?
Tu cara dice que te entretiene, date la oportunidad
¿Quién quita que se nos da? Y ay, se nos da

Y capaz no funcionamos
Capaz nos dimos la mano
Capaz nos fuimos temprano
Y queríamos quedarnos más
Que nada de esto sea en vano
Cuando te diga ""te amo""
Sin que lo digas, te aclamo
¿Cómo esto va a terminar?

Qué más da si (Da si)
Qué más da si (Aventurándome por tu—)
Qué más da si (Envicia'o de ti, si no es contigo, no quiero na')
Qué más da si (No quiero na', no quiero na')

Aventurándome por tu piel, no quieres que pare (No quieres que pare)
¿Qué te parece que tengo en mente una vuelta por la ciudad?
Tu cara dice que te entretiene, date la oportunidad
¿Quién quita que se nos da? Y ay, se nos da

Y capaz no funcionamos
Capaz nos dimos la mano
Capaz nos fuimos temprano
Y queríamos quedarnos más
Que nada de esto sea en vano
Cuando te diga ""te amo""
Sin que lo digas, te aclamo
¿Cómo esto va a terminar?
Y capaz no funcionamos
Capaz nos dimos la mano
Capaz nos fuimos temprano
Y queríamos quedarnos más
Que nada de esto sea en vano
Cuando te diga ""te amo""
Sin que lo digas, te aclamo
¿Cómo esto va a terminar?"
Bad Bunny,KLOuFRENS,4MUrUT38U98olfnyzMBCzm,"¿Cómo diablos vo'a olvidarte si ya te vi sin ropa?
Wow, qué obra de arte, sé que prometí que iba a alejarme

¿Pero cómo quiere' que me vaya bien?
Si tú no me saca' de los close friends
Me paso stalkeándote pa' ver qué hace'
Enchula'o, puede que se me pase
¿Pero cómo quiere' que me vaya bien?
Si tú no me saca' de los close friends
Me paso stalkeándote pa' ver qué hace'
Enchula'o, puede que se me pase

¿Cómo diablo' vo'a olvidarte?
Si cuando estoy solo y prendo lo que hago es pensarte, eh-eh
Mami, me dejaste hipnotiza'o, coloniza'o
Otra galla como tú todavía no ha pisa'o
Ese totito era bello, precioso, cute
Me dejaste envicia'o, ey
Pelinegra o blondie, ma, tú ere' la baby
Dando vuelta' por la SanSe escuchando a Dei V y a Ousi
To' lo mío es tuyo, si quiere' te doy la OC
Quiero comerte esos labio' glossy
Oh, sí, mmm
Esto no tiene que pasar
, no
Pero veo el circulito verde y me vuelvo a ilusionar
Tú ere' mala, tú lo hace' intencional
Una player profesional (Ah-ah)
Total, esto no iba a funcionar
Pero te veo y me vuelvo a ilusionar
Tú ere' mala, tú lo hace' intencional
A tu nombre me lo voy a lesionar
'Tá cabrón que pa' ti es normal

¿Pero cómo quiere' que me vaya bien?
Si tú no me saca' de los close friends
Mmm-mmm, mmm-mmm, mmm-mmm, mmm-mmm

Dime qué pasó, mi amor
Que ya no me envía' los bueno' día' por la mañana
Y en la noche ante' de acostarte ya no me llamas
¿Será que ya encontraste a alguien má' y me cambiaste?
Está cabrón cómo de tu vida ya desaparecí
Qué triste que terminó así, que terminó así, eh
¿Será que a otro ahora le cuentas tu día
Y lo hace' reír con los chiste' que tú me hacía'?
No tengo stickers nuevo', mami, porque ya tú no me los envía'
Te fuiste cuando más yo te quería, eh
Y ya nadie sabrá lo que tú y yo pudo ser
Qué triste, no conocerá' esa parte de mí que yo sé que te iba a gustar
Y nadie sabrá lo que tú y yo pudo ser
Qué triste, no conocerás esa parte de mí que yo a nadie le suelo mostrar"
"Rauw Alejandro, Bad Bunny",Qué Pasaría...,0l0vcZMU7AOeQmUIREoI2U,"¿Qué pasaría si volvieran esas noche' dentro de ti?
Qué rico fue cuando te metí
Tú sabe' lo que hicimo'
Y ahora sin buscarno' en la disco nos vimo'

¿Qué pasaría si estuviéramos solos?
En una cama, ey, ey, recordando
Cómo ante' yo te lo metía, tu amiga se fue
¿Por qué te estás quedando? Algo te está faltando, bebé, y

Yo lo tengo, ma, yo lo tengo, ma
Yo lo tengo y te lo doy esta noche (Wuh)
Suena su canción, suena su canción
Tú la ve' y nadie la conoce
No lo piense' má', no lo piense' má'
No lo piensе' y dame otra noche
Que yo tе doy lo que te falte, bebé (Ra-Rauw)

Y si nos comemo' otra vez, ¿a quién le importa? (¡Yah!)
Esto es cosa nuestra, cuando la bellaquera aprieta (Wuh)
Lleno de video' dándole están las carpeta'
La tengo brincando en un split (Yih)
Explícita le gusta la letra (¡Ah!)
Tú siempre' termina' aquí
Mi gata salvaje y yo soy quien te aquieta, eh
Yo sé que tú no vas a parar hasta tener lo que quieres (No, oh-oh, yeah)
Ella está prendía' en fuego, quiere que me queme (Quiere que me queme)
Ya por mi mente pasa hacerte un par de nenes (Ja)
Diablo, qué culo tienes (Yeah-yeah-yeah-yeah; wuh)

Baby, no te haga', tú sabe' lo que va a pasar
Si no te la saco, me va' a tener que envasar
Tú sabe' quién la tiene, yo sé cómo te viene'
Imagínate un baby si juntamo' los gene'
Por ahora no quiere, en la boca la prefiere, y
Se dio un shot de mi ADN
Tan callaíta' la nena (Wuh), pero bellaqueando nunca frena (Yih)
Sudaíta', brincando, brillando como mis cadena'
Ba-Ba-Baila, morena (
¡Yah!
)
Me mira y me lo agarra, ella sabe pa' qué
Es que la noche está buena
La disco está llena, pero

¿Qué pasaría si estuviéramos solos?
En una cama tú y yo chingando
Como antes yo te lo metía, tu amiga se fue
¿Por qué te estás quejando? Algo te está faltando
Eh, eh, eh, eh (¡Yah!)

Yo lo tengo, ma, yo lo tengo, ma
Yo lo tengo y te la doy esta noche (Yih)
Suena su canción, suena su canción
Tú la ve' y nadie la conoce (Yih)
No lo piense' má', no lo piense' má'
No lo piense' y dame otra noche
Eh-eh-eh, eh-eh-eh, eh-eh-eh, mmm

Dime, MAG, ponle más
Dime, MAG, ponle más
Ey, ey, ey, ja"
"J Balvin, Bad Bunny",LA CANCIÓN,0fea68AdmYNygeTGI4RC18,"Yeh, yeh, yeh

Pensaba que te había olvida'o, eh
Pero pusieron la canción, eh, eh, eh
Que cantamo’ bien borracho'
Que bailamo' bien borracho’
Nos besamo' bien borracho' los dos
Pensaba que te había olvida'o, eh
Pero pusieron la canción, eh, eh, eh
Que cantamo' bien borracho'
Que bailamo' bien borracho'
Nos besamo’ bien borracho’ los dos
Pensaba que te había olvida'o

Justo cuando creía
Que por comerme a do’ o diez, te olvidaría' (Yeh)
Cogí un respiro y me salí de la vía
Y como un pendejo, no sabía lo que hacía
Nunca lo superé, nunca te superé (No; no)
Hasta me aprendí to'a la' balada’ en inglé' (Yeh)
Respiré y conté hasta tres (Uno, dos, tres)
Ere' la fantasía oscura de Kanye West, bebé, ey
Hace tiempo lo barato me salió caro (Yih)
Yo sólo twitteo, bala' loca' disparo (Yih)
¿Cómo olvidar la bellaquera en el carro?
¿A que guió solo?

Pensaba que te había' olvida'o (Pero no), yeh
Pero pusieron la canción, yeh, yeh
Que cantamos bien borrachos
Que bailamo' bien borrachos
Nos besamo' bien borracho' lo' dos
Pensaba que te había' olvida'o, eh
Pero pusieron la canción, yeh, yeh
Que cantamo' bien borracho'
Que bailamo' bien borracho'
Nos besamo' bien borracho' los dos, ey, ey

Y hace tiempo que no venía' a mi cabeza
Pero ya van par de cerveza'
Y me acordé de cómo tú me besa'
De to' lo' polvo' encima 'e la mesa
Y en el carro, la playa, y el motel
En casa de tu pai', cuando yo te iba a ver
Las vece' que tu mai' no' llegó a coger
Tú brincando mojaíta', sudando Chanel
Yo sé que lo nuestro e' cosa de ayer
Y me pone contento que te va bien con él
Yo ni te extrañaba ni te quería ver
Pero pusieron la canción que te gustaba poner
Y me acordé de ti, cuando me hiciste feliz
Se acabó, pues, me fui, ey
Yo mismo me río de mí porque—

Pensaba que te había' olvida'o, eh
Pero pusieron la canción, yeh, yeh
Que cantamos bien borrachos
Que bailamo' bien borrachos
Nos besamo' bien borracho' lo' do'


Y yo pensaba que tu nombre estaba muerto, eh
Pero te soñé despierto, ey
Hoy salí pa' la calle suelto
Sin sentimiento', el corazón desierto
Y yo pensaba que tu nombre estaba muerto
Pero te soñé despierto
Hoy salí pa' la calle sueltoSin sentimiento', el corazón desierto"
Babasonicos,Como Eran Las Cosas,61qPUnazSdkvua4wgA4L8C,"Creo que es momento para otra bomba de humo
Y batirme en retirada
Nuestra sociedad me perjudica
Vos no sos una chica cualquiera
Qué ridículo es que pienses
Que todo es tuyo, inclusive yo
Todo eso tuyo puede ser
Pero esta noche es para los dos

Quizás fue en la mañana
En que vendados los dos
Descubrimos cómo eran las cosas
Y sin abrir los ojos nos teletransportamos
A donde desearíamos estar

Entonces deshace el hechizo
Que me obliga a arrastrarme
Entre Guinea y tu sabanas
Nuestra sociedad no ayuda mucho
Mientras la pasás bien, yo lucho

Quizás fue en la mañana
En que vendados los dos
Descubrimos cómo eran las cosas
Y sin abrir los ojos nos teletransportamos
A donde desearíamos estar
Quizás fue en la mañana
En que vendados los dos
Descubrimos cómo eran las cosas
Y sin abrir los ojos nos teletransportamos
A donde desearíamos estar


Pero también lo siento
Que sólo es un momento
Que todos deberíamos pasar

Quizás fue en la mañana
En que vendados los dos
Descubrimos cómo eran las cosas
Y sin abrir los ojos nos teletransportamos
A donde desearíamos estar
Quizás fue en la mañana
En que vendados los dos
Descubrimos cómo eran las cosas
Y sin abrir los ojos nos teletransportamos
A donde desearíamos estar"
Omar Courtz,POR SI MAÑANA NO ESTOY,595wwjQiad6e6lSTScmXvz,"Baby, por la noche, I wanna kiss you
Aunque sea por FaceTime, I wanna fuck you
Cuando tú no está', me siento lonely
Me cuesta admitirte that I miss you
Habla claro, do you wanna fuck me?
Porque toa' las noche' I wanna fuck you
Cuando tú no está', me siento lonely
Me cuesta admitirte that I miss you
That I miss you

Tu tatuaje de luna en el tobillo
Tu piel color perla, ojito' con brillo
Los polvito' escondido', no me olvido
Enamora'itos, éramos niño'
Y se sentía real, todo era real
Si te lo hice en el prom, baby, ¿cómo olvidar?
Pai me prestaba el carro y te salía a buscar
""Engancha tú primero que no quiero enganchar"" me decía'
Que tú iba' a ser mía pa' siempre, tú me decía'
Que no iba a pegarme en la música, me decía'
Hice un choli pa' cantarte y no fuiste ese día a verme
Tu silla estaba vacía, vacía como la mansión cuando me voy de gira
Vacía como la guagua que tú quería'
Me monto en el pasajero imaginando que la guía'
Escuchando ""MARGIELA"" y ""P o l v o s Q u e N o S e O l v i d a n""
Uh-uh, ese era pa' ti, ""LUCES DE COLORES"" y ""P I E N S A S E N M I""
Ya mismo me gano un Grammy y na' más hablando 'e ti
Me preguntan quién es la primera musa y les tengo que mentir
A lo mejor, a lo mejor ya tú tiene' una vida mejor
A lo mejor tiene' a alguien que te trata mejor
Pero no sé si te pasa lo mismo que yo, es que por la noche, eh
Baby, por la noche yo te extraño
Baby, por la noche e' que te pienso
¿Cómo es que ahora somo' do' extraños?
Sí hasta tengo fotos tuyas que ni enseño
Baby, te lo juro, me hace daño darte besito' na' má' en mis sueño' (Uh-uh)
¿Cómo es que ahora somo' do' extraño'?
Si encima mío me estabas diciendo que

Baby, por la noche, I wanna kiss you
Aunque sea por FaceTime, I wanna fuck you
Cuando tú no está', me siento lonely
Me cuesta admitirte that I miss you
Habla claro, do you wanna fuck me?
Porque toa' las noche' I wanna fuck you
Cuando tú no está', me siento lonely
Me cuesta admitirte that I miss you
That I miss you

Mami, frente a la playita, aquí 'toy solo
Mirando la luna, solitario el lobo
Pensando en la primera vez que te besé
Tú me tienes viviendo en el 2016, recordando que
Mañana hay escuela y tu mamá nos daba hasta la 1
Hoy voy a pichear el PlayStation, eso es de una
Pa' ir a verte con la combi Ecko, las trenza' y el durag
Tu pai en el cuarto de al la'o, tú encima mío, desnu'a
Pa' los tiempo' 'e Maybach Music, cuando Anuel decía ""uah"" (Uah)
Si ya no me amas como antes, como Ozuna
Hoy bajo las escalera' de La Perla
Ojalá encontrarte y que conmigo tú las subas, bebé
Y si mañana no estoy (Y si mañana no estoy), ey
Recuerda los momento' felice'
El tiempo cura todo, sana cicatrice'
Siempre sale el sol después de los día' grise'
Te deseo lo mejor; yo siempre te quise
Que cumpla' tus sueño', que los realice'
Y como el tiempo pasa rápido y no hay un reloj que avise
Esta la hice por si mañana no estoy, por si mañana no estoy
Esta la hice por si mañana me voy
Pa' que te acuerde' de mí, si mañana me voy
Nadie te va a querer como yo si mañana me voy
Por si mañana no estoy, si mañana no estoy
Esta la hice por si mañana me voy
Pa' que te acuerde' de mí, si mañana no estoy
Por si mañana no estoy
Por si mañana me voy, si mañana me voy
Esta la hice por si ma—, ey
Por si mañana me voy, si mañana me voy
Nadie va a quererte, baby, como yo
Si mañana me voy"
"Bizarrap, Daddy Yankee","Daddy Yankee: Bzrp Music Sessions, Vol. 0/66",2uPMsTEKx79gJ8rB3AcT0v,"¡Daddy Yankee!

Nueva temporada, ya empezó, dale play (Play)
Sonido del bajo, Bizarrap, suena el bass
Código 787, alias ""El Calentón"" (¡Wuh!)
Pon la batería, que llegó el reggaetón
Que lo bueno se metió pa' tu casa
Rey sin misterio, levantando la raza
Ando con el poder que to' los male' arrasa
To' el mundo me dice: ""¿Qué te pasa?"" (Eh)

Si me pregunta', a nadie yo le debo
Cuando me vaya de aquí, nada me llevo
Solo me voy con un amor verdadero
Los pie' en la tierra, siempre mirando al cielo
¡Daddy!

Fino es el chamaco y se le nota el barrio
Mi flow es eterno, ya no es legendario
No te estoy hablando 'e dólar, pero traigo el cambio
Es mi father quien llena el estadio
Conmigo pa' to' lao' camina, es quien me pone la vitamina
La verdadera gasolina, -lina (Prendan los motore')
No me deja para'o en la esquina, de Santurce pa' Argentina
¿Qué tú quiere' que te diga?

Si me pregunta', a nadie yo le debo
Cuando me vaya de aquí, nada me llevo
Solo me voy con un amor verdadero
Los pie' en la tierra, siempre mirando al cielo

¡Masivo!
(Prendan los motore')
¡Fuego!

Bi-Bi-Biza, búscate la visa (What?)
Que sea es la de arriba, que el enemigo no avisa (What?)
Estás viendo un hombre que renace 'e las ceniza'
Esto no lo para ni la patrulla fronteriza, listo

Nueva temporada, ya empezó, dale play
Sonido del bajo, Bizarrap, suena el bass
Código 787, alias ""El Calentón""
Pon la batería, que llegó el reggaetón
Que lo bueno se metió pa' tu casa
Rey sin misterio, levantando la raza
Ando con el poder que to' los male' arrasa
To' el mundo me dice: ""¿Qué te pasa?""

Si me pregunta', a nadie yo le debo
Cuando me vaya de aquí, nada me llevo
Solo me voy con un amor verdadero
Los pie' en la tierra, siempre mirando al cielo

¡Fuego!
¡Fuego!
(Zúmbale mambo pa' que mis gatas prendan los motore')
(Prendan los motore')

Bizarrap"
Bad Bunny,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,"Ey

Tití me preguntó si tengo mucha' novia', mucha' novia'
Hoy tengo a una, mañana otra, ey, pero no hay boda
Tití me preguntó si tengo mucha' novia', je, mucha' novia'
Hoy tengo a una, mañana otra

Me la' vo'a llevar a to'a pa' un VIP, un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese"", ey
Que sonrían las que ya les metí
En un VIP,  un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese""
Que sonrían las que ya se olvidaron de mí

Me gustan mucho las Gabriela
Las Patricia, las Nicole, las Sofía
Mi primera novia en kinder, María
Y mi primer amor se llamaba Thalía
Tengo una colombiana que mе escribe to' los día'
Y una mexicana quе ni yo sabía
Otra en San Antonio que me quiere todavía
Y las de PR que todita' son mía'
Una dominicana que es uva bombón
Uva, uva bombón
La de Barcelona que vino en avión
Y dice que mi bicho está cabrón
Yo dejo que jueguen con mi corazón
Quisiera mudarme con toda' pa' una mansión
El día que me case te envío la invitación
Muchacho, deja eso, ey

Tití me preguntó si tengo mucha' novia', mucha' novia'
Hoy tengo una, mañana otra, ey, pero no hay boda
Tití me preguntó si tengo mucha' novia', ey, ey, mucha' novia'
Hoy tengo una, mañana otra (Mañana otra; ¡rra!)

Tití me preguntó-tó-tó-tó-tó-tó-tó-tó
Tití me preguntó-tó-tó-tó-tó-tó-tó-tó (Qué pámpara)
Tití me preguntó-tó-tó-tó-tó-tó-tó-tó
Tití me preguntó-tó-tó-tó-tó (Pero ven acá, muchacho, ¿y para qué tú quiere' tanta' novia'?)

Me la' vo'a llevar a to'a pa' un VIP, un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese"", ey
Que sonrían las que ya les metí
En un VIP,  un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese""
Que sonrían las que ya se olvidaron de mí

Oye, muchacho 'el diablo azaroso
Suelta ese mal vivir que tú tiene' en la calle
Búscate una mujer seria pa' ti
Chacho 'el diablo, coño

Yo quisiera enamorarme
Pero no puedo, pero no puedo, eh, eh
Yo quisiera enamorarme
Pero no puedo, pero no puedo

Sorry, yo no confío, yo no confío
Nah, ni en mí mismo confío
Si quiere' quedarte hoy que hace frío
Y mañana te va', nah
Muchas quieren mi baby gravy
Quieren tener mi primogénito, ey
Y llevarse el crédito
Ya me aburrí, hoy quiero un totito inédito, je
Uno nuevo, uno nuevo, uno nuevo, uno nuevo (Ey)
Hazle caso a tu amiga, ella tiene razón
Yo vo'a romperte el corazón, vo'a romperte el corazón
Ey, no te enamore' de mí (No, no)
No te enamore' de mí (No, no), ey
Sorry, yo soy así (Así, así), ey
No sé por qué soy así (Ey)
Hazle caso a tu amiga, ella tiene razón
Yo vo'a romperte el corazón, vo'a romperte el corazón (Ey, ey)
No te enamore' de mí (No)
No te enamore' de mí (No), no
Sorry, yo soy así
Ya no quiero ser así, no"
